ticker,layer,relation,entity,category,sector,confidence,note,source_name,source_url
ABX.TO,Clients servis,Transformateurs,"Fonderies, raffineurs, fabricants et négociants",Clients,Matériaux,Indicatif,La production minière alimente plusieurs chaînes industrielles.,,
ABX.TO,Intrants,Équipement minier,"Camions miniers, explosifs, énergie et services géologiques",Fournisseurs,Industrie,Indicatif,"Intrants nécessaires à l’exploration, l’extraction et la transformation.",,
ABX.TO,Secteurs impactés,Métaux et matériaux,"Construction, énergie, électronique et infrastructure",Secteur,Industrie,Indicatif,Les métaux servent plusieurs secteurs utilisateurs.,,
AEM.TO,Clients servis,Transformateurs,"Fonderies, raffineurs, fabricants et négociants",Clients,Matériaux,Indicatif,La production minière alimente plusieurs chaînes industrielles.,,
AEM.TO,Intrants,Équipement minier,"Camions miniers, explosifs, énergie et services géologiques",Fournisseurs,Industrie,Indicatif,"Intrants nécessaires à l’exploration, l’extraction et la transformation.",,
AEM.TO,Secteurs impactés,Métaux et matériaux,"Construction, énergie, électronique et infrastructure",Secteur,Industrie,Indicatif,Les métaux servent plusieurs secteurs utilisateurs.,,
AQN.TO,Clients servis,Utilisateurs d’infrastructure,"Entreprises, gouvernements, ménages et utilities",Clients,Infrastructure,Indicatif,Clients finaux ou indirects des infrastructures exploitées.,,
AQN.TO,Intrants,Capital et ingénierie,"Financement, construction, exploitation et maintenance",Fournisseurs,Infrastructure,Indicatif,Intrants nécessaires aux actifs de long terme.,,
AQN.TO,Secteurs impactés,Actifs réels,"Électricité, transport, immobilier et données",Secteur,Infrastructure,Indicatif,Exposition à plusieurs infrastructures essentielles.,,
AQN.TO,Secteurs impactés,Transition énergétique,"Énergie renouvelable, réseaux et efficacité",Secteur,Énergie,Indicatif,Contribution potentielle aux infrastructures de transition.,,
ARX.TO,Clients servis,Raffinage et distribution,"Raffineries, distributeurs et clients industriels",Clients,Énergie,Indicatif,"La production alimente les carburants, la pétrochimie et les usages industriels.",,
ARX.TO,Intrants,Services pétroliers,"Forage, complétion, maintenance et équipement",Fournisseurs,Énergie,Indicatif,Services nécessaires à la production et à l’entretien des actifs.,,
ARX.TO,Intrants,Transport et infrastructures,"Pipelines, terminaux, rail et stockage",Fournisseurs,Transport,Indicatif,Infrastructure utilisée pour déplacer la production vers les marchés.,,
ARX.TO,Secteurs impactés,Revenus publics,"Redevances, taxes et emploi régional",Secteur,Gouvernement,Indicatif,Les producteurs contribuent aux recettes publiques et aux emplois régionaux.,,
ARX.TO,Secteurs impactés,Énergie finale,"Transport, industrie, chimie et ménages",Secteur,Économie réelle,Indicatif,Les hydrocarbures alimentent plusieurs secteurs d’activité.,,
ATD.TO,Clients servis,Demande discrétionnaire,"Ménages, automobilistes, restaurants, détaillants et consommateurs finaux",Clients,Consommation,Indicatif,Couverture TSX60 pour Alimentation Couche-Tard Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
ATD.TO,Intrants,Approvisionnement commercial,"Marques, immobilier commercial, logistique, publicité, paiement et distribution",Fournisseurs,Consommation,Indicatif,Couverture TSX60 pour Alimentation Couche-Tard Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
ATD.TO,Secteurs impactés,Consommation finale,"Retail, restauration, transport, publicité, logistique et immobilier commercial",Secteur,Consommation,Indicatif,Couverture TSX60 pour Alimentation Couche-Tard Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
BAM.TO,Clients servis,Utilisateurs d’infrastructure,"Entreprises, gouvernements, ménages et utilities",Clients,Infrastructure,Indicatif,Clients finaux ou indirects des infrastructures exploitées.,,
BAM.TO,Intrants,Capital et ingénierie,"Financement, construction, exploitation et maintenance",Fournisseurs,Infrastructure,Indicatif,Intrants nécessaires aux actifs de long terme.,,
BAM.TO,Secteurs impactés,Actifs réels,"Électricité, transport, immobilier et données",Secteur,Infrastructure,Indicatif,Exposition à plusieurs infrastructures essentielles.,,
BAM.TO,Secteurs impactés,Transition énergétique,"Énergie renouvelable, réseaux et efficacité",Secteur,Énergie,Indicatif,Contribution potentielle aux infrastructures de transition.,,
